p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.70E-45,0.314707782,0.547,0.428,1.70E-40,0,JAZF1
8.79E-45,0.289951125,0.687,0.581,2.63E-40,0,XPR1
2.60E-44,0.278422387,0.844,0.744,7.76E-40,0,PRKN
1.74E-43,0.264109071,0.723,0.621,5.20E-39,0,CASC4
4.67E-43,0.278754008,0.436,0.315,1.40E-38,0,ICA1L
4.72E-42,0.288572781,0.455,0.333,1.41E-37,0,INPP5F
6.47E-42,0.263543425,0.557,0.428,1.94E-37,0,STXBP1
7.11E-42,0.262910988,0.381,0.262,2.13E-37,0,HDAC5
1.16E-41,0.268787655,0.521,0.392,3.48E-37,0,RNF24
2.32E-41,0.261642317,0.359,0.239,6.93E-37,0,SAMD12
9.83E-41,0.287090833,0.513,0.392,2.94E-36,0,ENO2
1.90E-40,0.278312639,0.493,0.367,5.68E-36,0,MYO1D
3.58E-40,0.256640026,0.409,0.289,1.07E-35,0,RPS6KA6
6.09E-40,0.269532146,0.735,0.642,1.82E-35,0,VPS53
1.35E-39,0.255061847,0.491,0.361,4.03E-35,0,ARHGAP26
4.80E-39,0.25908403,0.559,0.438,1.43E-34,0,MAP3K13
7.17E-39,0.251511083,0.459,0.337,2.15E-34,0,NOVA2
8.76E-38,0.250511661,0.373,0.252,2.62E-33,0,EFNA5
1.01E-37,0.291543478,0.586,0.481,3.03E-33,0,PACS1
4.45E-37,0.268302484,0.561,0.457,1.33E-32,0,TPT1-AS1
1.40E-36,0.264937696,0.764,0.691,4.18E-32,0,RAPGEF6
2.61E-36,0.253218315,0.374,0.259,7.81E-32,0,KCND3
7.40E-36,0.268023226,0.6,0.49,2.21E-31,0,SH3KBP1
3.10E-35,0.309093474,0.725,0.656,9.28E-31,0,FNDC3A
8.42E-35,0.298360875,0.448,0.33,2.52E-30,0,LRFN5
3.46E-34,0.270644305,0.588,0.485,1.04E-29,0,AKAP12
7.23E-34,0.257147675,0.547,0.427,2.16E-29,0,SORCS3
7.95E-34,0.267304334,0.419,0.312,2.38E-29,0,FBXO16
1.15E-33,0.256650715,0.554,0.458,3.44E-29,0,PLD3
1.80E-33,0.259279826,0.569,0.479,5.38E-29,0,RALGPS1
1.81E-33,0.258922426,0.554,0.455,5.41E-29,0,ADGRL1
